"sid","entry","irt","fpatchnum","fpatchitem","fitemsfromend","flastitem","meanirt","catitem"
51,"cat",8,1,1,2,0,5.2,1
51,"dog",3,1,2,1,1,5.2,2
51,"mouse",3,2,1,2,0,5.2,3
51,"rat",3,2,2,1,1,5.2,4
51,"giraffe",6,3,1,7,0,5.2,5
51,"lion",2,3,2,6,0,5.2,6
51,"zebra",3,3,3,5,0,5.2,7
51,"rhino",4,3,4,4,0,5.2,8
51,"ostrich",6,3,5,3,0,5.2,9
51,"meerkat",6,3,6,2,0,5.2,10
51,"tiger",3,3,7,1,1,5.2,11
51,"bear",1,4,1,1,1,5.2,12
51,"bat",10,5,1,3,0,5.2,13
51,"aardvark",6,5,2,2,0,5.2,14
51,"elephant",7,5,3,1,1,5.2,15
51,"flea",7,6,1,1,1,5.2,16
51,"ferret",7,7,1,2,0,5.2,17
51,"parrot",3,7,2,1,1,5.2,18
51,"hippopotamus",6,8,1,1,1,5.2,19
51,"alligator",4,9,1,9,0,5.2,20
51,"crocodile",5,9,2,8,0,5.2,21
51,"frog",3,9,3,7,0,5.2,22
51,"whale",4,9,4,6,0,5.2,23
51,"shark",6,9,5,5,0,5.2,24
51,"clownfish",11,9,6,4,0,5.2,25
51,"guppy",7,9,7,3,0,5.2,26
51,"goldfish",3,9,8,2,0,5.2,27
51,"snake",5,9,9,1,1,5.2,28
51,"snail",4,10,1,1,1,5.2,29
51,"deer",8,11,1,2,0,5.2,30
51,"elk",4,11,2,1,1,5.2,31
51,"buffalo",5,12,1,3,0,5.2,32
51,"monkey",3,12,2,2,0,5.2,33
51,"hyena",7,12,3,1,1,5.2,34
51,"kangaroo",9,13,1,99,0,5.2,35
71,"cheetah",3,1,1,2,0,4.84210526315789,1
71,"panther",12,1,2,1,1,4.84210526315789,2
71,"snake",3,2,1,1,1,4.84210526315789,3
71,"shark",2,3,1,1,1,4.84210526315789,4
71,"elephant",3,4,1,3,0,4.84210526315789,5
71,"gazelle",3,4,2,2,0,4.84210526315789,6
71,"deer",2,4,3,1,1,4.84210526315789,7
71,"monkey",6,5,1,2,0,4.84210526315789,8
71,"orangutan",8,5,2,1,1,4.84210526315789,9
71,"mouse",4,6,1,2,0,4.84210526315789,10
71,"hamster",3,6,2,1,1,4.84210526315789,11
71,"sheep",2,7,1,2,0,4.84210526315789,12
71,"horse",3,7,2,1,1,4.84210526315789,13
71,"rabbit",6,8,1,3,0,4.84210526315789,14
71,"squirrel",10,8,2,2,0,4.84210526315789,15
71,"muskrat",5,8,3,1,1,4.84210526315789,16
